w_1stIn,l_1stIn,w_2ndWon,l_2ndWon,w_bpFaced,w_bpSaved
42,50,13,13,1,0
59,85,24,11,1,0
32,29,14,9,5,4
31,23,13,8,5,5
28,29,8,8,0,0
57,63,23,18,7,4
61,68,24,13,8,5
54,54,32,22,8,7
50,63,20,17,8,5
51,49,17,14,10,8
45,80,33,14,3,1
48,48,23,17,7,4
56,46,15,18,8,5
35,40,15,8,4,2
31,35,17,14,3,2
32,29,23,20,2,1
24,23,6,3,3,3
25,33,12,7,3,2
28,16,5,2,5,4
51,40,12,13,2,2
51,67,33,16,10,7
40,47,9,12,0,0
40,56,10,9,1,1
32,30,14,9,6,6
39,35,13,12,6,5
74,63,17,18,6,3
62,76,28,16,4,3
43,69,17,13,4,1
48,33,16,22,4,1
81,77,22,20,5,3
40,53,14,15,2,2
47,36,12,16,0,0
37,33,13,11,0,0
36,59,17,15,5,3
44,31,4,8,0,0
32,44,8,12,0,0
28,30,8,7,1,1
28,47,15,9,8,7
52,53,19,23,4,3
55,34,8,18,8,5
58,70,20,14,7,5
45,24,8,5,2,2
35,35,9,6,4,3
46,71,20,22,2,0
37,30,8,2,3,3
13,11,5,5,0,0
33,36,8,7,2,1
77,68,20,21,1,1
54,60,11,9,4,1
40,45,24,18,1,0
38,38,5,6,0,0
67,47,12,24,14,11
29,43,9,4,1,0
72,63,17,25,5,2
54,48,12,19,4,2
32,42,13,5,0,0
54,48,24,20,2,2
85,104,23,17,11,9
44,51,13,9,7,4
28,35,19,9,4,3
34,23,9,11,2,2
75,50,9,18,12,10
65,72,24,11,8,6
39,26,13,12,3,3
34,21,6,3,1,1
50,80,29,13,1,0
38,53,10,12,5,3
30,32,9,8,5,3
51,39,9,11,5,5
37,33,13,21,0,0
34,46,13,11,3,2
31,34,17,6,3,3
68,95,21,34,4,1
40,51,17,23,1,1
38,32,11,11,2,0
43,59,10,12,5,5
22,33,11,13,2,1
79,60,21,15,8,6
51,55,27,23,6,2
38,33,14,10,6,6
47,57,13,14,2,2
38,48,16,12,0,0
74,87,25,20,11,8
24,36,10,14,0,0
32,32,10,17,0,0
65,47,15,19,1,1
71,57,19,25,7,6
36,40,9,6,2,2
54,63,30,17,11,8
31,52,13,19,4,2
37,40,17,13,3,2
56,56,18,11,12,8
41,49,16,13,0,0
26,29,6,11,2,2
64,64,20,11,10,7
8,5,2,0,0,0
36,39,15,22,0,0
51,60,12,17,2,0
38,39,15,10,4,2
32,32,7,10,3,2
39,39,5,5,0,0
56,48,31,20,10,8
37,41,12,6,2,0
49,46,11,18,3,2
46,62,16,15,5,2
47,52,20,8,9,7
29,32,10,7,4,3
49,37,16,5,3,3
35,27,8,6,2,1
38,39,10,8,1,1
56,46,12,15,2,1
38,28,8,3,4,4
38,34,17,11,0,0
20,19,4,9,3,1
61,46,19,14,10,4
69,63,15,17,8,5
42,41,20,21,5,3
48,58,13,8,3,3
43,44,19,9,8,7
53,38,12,16,4,3
56,65,27,21,13,11
55,44,12,15,4,2
29,46,15,8,5,3
57,59,21,12,4,3
29,30,15,7,0,0
43,30,9,11,4,3
40,27,13,12,8,7
7,4,1,0,0,0
27,30,9,10,1,1
47,35,11,19,10,5
26,22,10,7,3,3
65,54,27,20,11,9
34,44,8,15,1,0
30,28,12,10,2,1
41,57,22,11,9,7
50,45,16,12,2,0
34,31,9,9,4,1
42,41,14,21,8,4
31,30,8,7,3,2
24,27,13,9,6,4
68,66,22,15,17,15
55,48,17,18,10,6
29,35,16,14,4,3
77,100,31,19,15,13
41,31,19,16,4,4
67,60,12,16,7,7
64,35,13,8,15,10
16,23,4,5,1,0
40,40,18,21,4,3
38,39,10,2,6,5
21,42,14,11,4,2
41,35,8,11,1,1
60,60,14,9,6,3
31,26,7,8,1,0
26,26,12,5,0,0
43,47,16,6,1,1
66,62,18,19,3,2
60,71,15,17,5,4
54,66,12,8,2,1
29,34,12,6,6,6
44,45,23,21,3,2
27,32,8,8,2,2
73,62,14,16,7,3
8,18,5,5,0,0
36,21,10,5,2,2
43,43,8,11,3,2
28,21,12,14,5,4
60,48,21,27,10,6
59,98,29,22,9,8
54,46,18,13,9,7
25,28,15,5,2,0
60,63,29,19,6,4
79,53,16,22,4,4
48,55,20,12,10,8
52,54,15,17,6,5
77,63,10,17,8,5
39,36,23,10,6,5
68,52,14,13,9,8
53,53,11,12,8,6
58,48,20,19,7,5
32,44,11,4,6,5
35,27,8,5,4,3
47,48,19,13,8,8
43,63,29,24,3,1
99,69,11,13,9,8
44,44,14,9,3,1
43,51,10,7,5,4
43,51,14,17,2,1
58,54,12,13,5,4
24,27,13,9,0,0
68,77,28,29,5,4
51,35,14,27,5,4
24,29,9,6,0,0
68,48,11,15,12,10
34,26,8,6,3,3
31,48,9,9,2,1
33,40,6,6,1,0
29,34,11,1,0,0
37,34,10,10,5,4
35,56,16,7,1,1
73,81,13,19,0,0
45,33,8,4,6,5
31,27,9,3,1,1
38,36,15,13,8,5
97,81,15,22,2,2
38,36,9,6,3,3
42,36,11,8,8,6
24,37,15,7,4,3
38,23,17,16,6,4
55,32,21,18,14,12
38,41,26,19,4,3
36,28,8,10,4,1
35,45,15,11,3,1
34,32,7,11,3,2
33,39,12,12,5,4
15,33,10,6,0,0
36,38,23,6,4,4
6,5,1,4,0,0
34,47,21,14,0,0
49,54,32,22,10,6
34,32,9,12,2,1
40,38,10,10,3,2
35,42,18,20,7,6
64,45,12,14,7,5
29,36,15,7,7,7
35,38,19,15,5,4
9,9,3,4,0,0
30,45,13,12,0,0
25,30,15,17,0,0
36,31,9,16,3,1
57,62,15,20,16,9
27,39,23,12,3,2
36,21,6,10,2,1
42,55,20,11,3,1
40,34,15,11,8,6
39,38,15,15,4,4
35,28,14,12,2,1
53,43,13,16,5,2
27,19,12,15,3,2
44,31,5,17,2,1
82,94,19,21,8,5
37,43,14,12,7,7
53,71,18,10,3,1
33,44,24,14,1,1
44,34,25,26,5,3
34,36,14,12,1,1
47,57,17,9,9,5
23,24,8,5,1,0
36,39,9,11,3,1
46,39,12,6,8,7
48,42,19,26,0,0
44,31,12,14,5,5
41,39,12,7,3,3
26,27,9,4,3,2
38,60,15,16,2,1
51,51,20,18,10,8
55,53,26,14,9,8
30,41,17,8,5,4
48,46,24,22,5,4
33,34,7,6,0,0
17,18,6,7,0,0
63,51,21,20,8,7
36,40,14,7,3,3
35,29,13,9,4,4
46,23,15,8,4,4
31,47,13,11,1,1
41,49,23,21,3,1
59,68,14,23,5,4
53,40,12,14,5,3
67,61,19,10,11,6
52,55,21,28,13,9
34,33,14,7,3,2
33,28,6,12,1,0
51,66,18,9,7,5
27,47,12,8,3,2
58,48,18,26,2,1
23,27,9,8,2,2
37,45,18,17,6,5
61,48,16,26,1,1
37,51,24,17,3,1
37,43,10,8,1,0
58,72,17,18,9,7
40,39,12,10,2,2
47,36,14,9,3,1
42,37,10,9,5,3
54,59,24,25,4,2
53,47,13,9,13,8
38,48,11,15,0,0
29,49,11,5,0,0
53,54,26,34,6,4
55,34,10,8,2,1
58,30,12,19,5,3
34,26,25,21,3,2
58,56,20,24,6,2
62,61,23,17,6,4
31,33,11,4,2,2
43,54,9,7,2,1
45,56,20,17,3,2
39,27,16,16,5,4
60,66,14,9,5,2
40,28,14,11,7,6
53,52,18,16,0,0
28,31,8,7,6,5
32,50,19,17,1,0
29,36,23,29,3,2
53,54,20,23,6,4
37,27,11,6,6,5
32,45,19,8,3,3
31,43,19,7,2,1
29,38,11,7,2,2
30,37,12,8,6,3
59,63,25,14,7,5
44,38,15,16,5,3
38,36,16,14,5,5
60,49,17,21,6,3
38,31,13,13,5,5
41,59,30,12,10,7
35,28,13,14,7,7
65,52,13,15,6,5
106,111,30,36,12,7
107,90,33,27,17,13
89,100,20,14,11,9
48,60,20,12,10,10
58,54,28,19,6,6
88,87,15,18,11,7
63,82,26,21,10,6
33,43,24,13,1,0
88,70,16,27,9,6
49,78,24,21,7,3
61,72,15,21,7,2
51,80,33,20,1,0
65,56,11,15,4,2
45,59,15,11,1,1
